epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,5600.26,1.55425,0.98025,0.95979,0.96067,0.62382,0.70087,0.49156,1.07795,0.61278,0.90671,0.0002674,0.0002674,0.0002674
150,5638,1.55026,0.96737,0.96341,0.95918,0.62475,0.70126,0.49141,1.07828,0.61285,0.90669,0.00026245,0.00026245,0.00026245
151,5675.31,1.54941,0.95571,0.96149,0.95737,0.62475,0.70157,0.49164,1.0758,0.61204,0.90644,0.0002575,0.0002575,0.0002575
152,5713.01,1.53703,0.96875,0.95944,0.95504,0.62595,0.70115,0.49218,1.07508,0.61216,0.9063,0.00025255,0.00025255,0.00025255
153,5824.68,1.53535,0.96568,0.95715,0.95788,0.62551,0.70121,0.49236,1.07429,0.61155,0.90615,0.0002476,0.0002476,0.0002476
154,5864.47,1.536,0.96106,0.95832,0.95558,0.62574,0.70149,0.49271,1.07343,0.61084,0.90595,0.00024265,0.00024265,0.00024265
155,5901.74,1.51981,0.95487,0.9593,0.95384,0.62475,0.70239,0.49287,1.07282,0.61061,0.90578,0.0002377,0.0002377,0.0002377
156,5938.92,1.52882,0.95246,0.95348,0.95213,0.62525,0.70313,0.49351,1.07097,0.61031,0.90556,0.00023275,0.00023275,0.00023275
157,5974.82,1.50114,0.94202,0.95352,0.95264,0.62475,0.70279,0.49524,1.06859,0.60923,0.9053,0.0002278,0.0002278,0.0002278
158,6010.18,1.50904,0.95045,0.95248,0.95152,0.62574,0.70302,0.49612,1.0664,0.60839,0.90503,0.00022285,0.00022285,0.00022285
159,6045.89,1.50264,0.94536,0.95401,0.95212,0.62574,0.70213,0.49691,1.06349,0.60796,0.90472,0.0002179,0.0002179,0.0002179
160,6083.62,1.51163,0.95131,0.95023,0.95451,0.62574,0.70221,0.49832,1.06216,0.60781,0.90461,0.00021295,0.00021295,0.00021295
161,6121,1.49133,0.92969,0.95084,0.95677,0.62574,0.70231,0.49864,1.06,0.60745,0.90434,0.000208,0.000208,0.000208
162,6158.11,1.49562,0.93308,0.95185,0.95289,0.62475,0.70398,0.49895,1.0589,0.60663,0.90416,0.00020305,0.00020305,0.00020305
163,6194.8,1.51039,0.93707,0.94741,0.95218,0.6259,0.70364,0.49897,1.05702,0.60616,0.90396,0.0001981,0.0001981,0.0001981
164,6230.04,1.47249,0.90794,0.9462,0.95219,0.62602,0.704,0.49979,1.05442,0.60552,0.90377,0.00019315,0.00019315,0.00019315
165,6345.95,1.46398,0.91891,0.94571,0.95219,0.626,0.70395,0.49971,1.05413,0.60531,0.90364,0.0001882,0.0001882,0.0001882
166,6392.4,1.4823,0.92161,0.94647,0.95222,0.62641,0.70458,0.50006,1.05285,0.6053,0.90344,0.00018325,0.00018325,0.00018325
167,6429.2,1.49166,0.92875,0.94494,0.94299,0.63163,0.70487,0.50016,1.05233,0.60531,0.90336,0.0001783,0.0001783,0.0001783
168,6470.19,1.45148,0.89735,0.94314,0.94327,0.63163,0.70499,0.50094,1.04965,0.60458,0.90302,0.00017335,0.00017335,0.00017335
169,6505.1,1.46286,0.91406,0.94824,0.9443,0.6328,0.70517,0.50169,1.0475,0.6042,0.90282,0.0001684,0.0001684,0.0001684
170,6541.25,1.45955,0.90704,0.94474,0.94707,0.6328,0.70533,0.50189,1.0466,0.60416,0.90268,0.00016345,0.00016345,0.00016345
171,6580.11,1.46243,0.90233,0.94818,0.94355,0.6336,0.70541,0.50258,1.04496,0.60398,0.90236,0.0001585,0.0001585,0.0001585
172,6616.97,1.44412,0.90114,0.93988,0.94573,0.63458,0.70548,0.50364,1.04304,0.60371,0.90211,0.00015355,0.00015355,0.00015355
173,6654.55,1.43239,0.88622,0.93949,0.94591,0.63261,0.70585,0.50378,1.04114,0.60335,0.90188,0.0001486,0.0001486,0.0001486
174,6692,1.43489,0.89206,0.94211,0.94572,0.63163,0.70586,0.50495,1.03903,0.60335,0.90162,0.00014365,0.00014365,0.00014365
175,6728.15,1.4355,0.88987,0.9434,0.94722,0.63163,0.70581,0.50549,1.03686,0.60307,0.90141,0.0001387,0.0001387,0.0001387
176,6763.89,1.4375,0.89652,0.93905,0.94561,0.63196,0.70623,0.50639,1.03545,0.60289,0.90114,0.00013375,0.00013375,0.00013375
